questions,answers
"Can the virus that causes COVID-19 spread to people through the water in pools, hot tubs, or water playgrounds?","CDC is not aware of any scientific reports of the virus that causes COVID-19 spreading to people through the water in pools, hot tubs, or water playgrounds. Plus, proper operation of public pools, hot tubs, and water playgrounds (such as at an apartment complex or owned by a community) and disinfection of the water (with chlorine or bromine) should inactivate the virus. The virus mainly spreads when respiratory droplets from infected people land in the mouths or noses of others or possibly when inhaled into the lungs by others. If a public pool, hot tub, or water playground is open, it is important for all visitors and staff to take steps to slow the spread of the virus: Stay home if you are infected or might be infected with the virus that causes COVID-19. Stay at least 6 feet apart (in and out of the water) from people you don’t live with. Wear cloth masks when not in water. Cover coughs and sneezes with a tissue (or use the inside of your elbow), throw used tissues in the trash, and wash hands. Wash your hands often with soap and water for at least 20 seconds. Use hand sanitizer with at least 60% alcohol if soap and water are not readily available. See Considerations for Public Pools, Hot Tubs, and Water Playgrounds for more information."
Can the virus that causes COVID-19 spread to people through the water in saltwater pools?,"CDC is not aware of any scientific reports of the virus that causes COVID-19 spreading to people through the water in pools, including saltwater pools. Plus, proper operation of public pools (such as at an apartment complex or owned by a community) and disinfection of the water (with chlorine or bromine) should inactivate the virus. Saltwater pools are chlorinated pools. In traditional pools, chlorine products (such as granules or liquid bleach) are added to the water to disinfect it. In saltwater pools, table salt (made up of sodium and chloride) is added to the water, and an electrical current is then run through the water with dissolved salt. This creates the same disinfecting form of chlorine that is created when chlorine products are added to the water in traditional pools."
"Can the virus that causes COVID-19 spread to people through the water in lakes, oceans, or rivers?","CDC is not aware of any scientific reports of the virus that causes COVID-19 spreading to people through the water in lakes, oceans, rivers, or other natural bodies of water. The virus mainly spreads when respiratory droplets from infected people land in the mouths or noses of others or possibly when inhaled into the lungs by others. If a public beach or other swim area in a natural body of water is open, it is important for all visitors and staff to take steps to slow the spread of the virus: Stay home if you are infected or might be infected with the virus that causes COVID-19. Stay at least 6 feet apart (in and out of the water) from people you don’t live with. Wear cloth masks when not in water. Cover coughs and sneezes with a tissue (or use the inside of your elbow), throw used tissues in the trash, and wash hands. Wash your hands often with soap and water for at least 20 seconds. Use hand sanitizer with at least 60% alcohol if soap and water are not readily available. See Considerations for Public Beaches for more information. RNAexternal icon of the virus that causes COVID-19 has been found in untreated wastewater, which can come from combined sewer overflowsexternal icon (rainwater runoff, domestic sewage, and industrial wastewater) and other sourcesexternal icon (such as, leaking septic tanks or animal waste from farms nearby) and enter swim areas. While data are limited, there is little evidence of infectious virus in wastewater. Plus, CDC is not aware of any scientific reports of the virus being spread by swallowing or coming in contact with water contaminated by feces (poop) from an infected person. At lakes, oceans, and rivers with routine water quality monitoring programs, staff look for changes in fecal (poop) contamination of the water. Water quality advisories and beach closures alert the public to avoid getting in or on the water because of increased fecal contamination. Learn more about healthy swimming in natural bodies of water and access water quality information by state."
Can cloth masks be worn in the water?,"No, do NOT wear a cloth mask in the water. It can be difficult to breathe through a cloth mask when it is wet. Plus, wet cloth masks don’t slow the spread of the virus that causes COVID-19 as well as dry cloth masks. All of this means it is particularly important to stay at least 6 feet apart in the water from people you don’t live with. In case cloth masks do get wet by mistake, bring a second (or extra) cloth mask for everyone heading out to the public pool or beach."
"Can Lycra (Spandex or elastane), the cloth used to make swimsuits, be used to make cloth masks?","CDC does not yet have evidence on the effectiveness of different types of cloth materials. Wearing cloth masks can help prevent people infected with the virus that causes COVID-19 from spreading the virus. Make sure your cloth mask: fits snugly but comfortably against the side of the face, completely covers the nose and mouth, is secured with ties or ear loops, includes multiple layers of fabric, allows for breathing without restriction, and can be laundered and machine dried without damage or change to shape. Cloth masks should NOT be worn by children less than 2 years old or anyone who has trouble breathing or is unconscious, incapacitated, or otherwise unable to remove the mask without assistance. Learn more about how to wear, take off, and wash your cloth masks."
"How many people, visitors and staff, can be in and around a public pool, hot tub, or water playground (such as at an apartment complex or owned by a community) at the same time?","The design of the public pool, hot tub, or water playground and surrounding deck and if visitors live together or not will affect how many people can stay at least 6 feet apart from those they don’t live with. CDC recommends operators of public pools, hot tubs, and water playgrounds: comply with local, state, territorial, federal, and tribal regulatory agency policies and requirements on gathering (so the number of swimmers in the water isn’t more than the maximum allowed) and teach and reinforce social (physical) distancing among visitors and staff. Operators might want to limit the number of people in and around the water so if the water needs to be evacuated (because of lightning or other health or safety threat) social distancing can be maintained on the deck. Otherwise, if the water is evacuated and social distancing cannot be maintained on the deck, close the deck to visitors. There is no standard formula to determine how many people can maintain social distancing in the water and on the surrounding deck. See Considerations for Public Pools, Hot Tubs, and Water Playgrounds for more information."
"Can I use pool, hot tub, or water playground water to disinfect surfaces or shared objects?","No. Only List N disinfectants approved by the U.S. Environmental Protection Agencyexternal icon should be used to disinfect surfaces (such as handrails and in bathrooms) and shared objects (such as kickboards and pool noodles). The list includes hundreds of disinfectants. Operators of public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) should consult with the design company or engineer to determine which disinfectants are best suited for surfaces and with manufacturers to determine which disinfectants are best suited for shared objects. Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectants."
Can the sun’s ultraviolet (UV) light disinfect surfaces and shared objects?,"We don’t know yet. Early scientific data suggest that SARS-CoV-2, the virus that causes COVID-19, can be inactivated by the sun’s UV light. However, the ability of the sun’s UV light to inactivate the virus on surfaces (such as handrails and in bathrooms) and shared objects (such as kickboards and pool noodles) needs more research. Factors — such as cloudiness, latitude (distance from equator), time of day, and amount of time exposed to the sun’s UV light — will determine how effectively the virus is inactivated. Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectantsexternal icon."
"How often do surfaces (such as handrails and in bathrooms) at public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) need to be cleaned and disinfected?","The more frequently a surface is touched by multiple people, the more frequently it should be cleaned and then disinfected with a List N disinfectant approved by the U.S. Environmental Protection Agencyexternal icon. Frequently touched surfaces should be cleaned and disinfected at least daily. Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectants."
"Do procedures for responding to formed fecal (poop) or diarrheal incidents in public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) need to change during the COVID-19 pandemic?","No. RNAexternal icon of the virus that causes COVID-19 has been found in feces (poop). While data are limited, there is little evidence of infectious virus in feces. Plus, CDC is not aware of any scientific reports of the virus being spread by swallowing or coming in contact with water contaminated by feces from an infected person. As a result, CDC has not changed its fecal incident response recommendations. Remember, do NOT vacuum feces out of the water."
"Can lifeguards monitor how visitors socially distance (stay at least 6 feet apart from people you don’t live with), wear cloth masks, or wash hands?","Not when lifeguards are actively lifeguarding. Lifeguards actively lifeguarding should not be doing other tasks that could distract them. Drowning deaths have resulted, at least in part, from lifeguards being distracted. Drowning can occur quickly and quietly. Learn and take steps to prevent drowning."
How can the spread of the virus that causes COVID-19 be slowed during lifeguard training?,"Lifeguard trainers can consider the following steps to slow the spread of the virus that causes COVID-19: Have the virus? Stay home to save lives. Educate instructors, lifeguard students, and others about when they should stay home to isolate (if they have symptoms of COVID-19 or tested positive for COVID-19) or quarantine (if they have been in close contact with someone who has COVID-19) and when they can return or reschedule training. Conduct daily health checks (see frequently asked question on screening) or ask instructors, students, and others to conduct self-checks (such as temperature screening or symptom checking), if possible. Conduct health checks safely and respectfully and in accordance with any applicable local, state, territorial, federal, and tribal privacy and confidentiality laws, rules, and regulations. Be smart, stay at least 6 feet apart Conduct knowledge training virtually or online, when possible, to limit contact among instructors, students, and others. Teach and reinforce social (physical) distancing during in-person skills training in and out of the water — maintaining at least 6 feet between people who don’t live together. Provide physical cues or guides (such as lane lines in the water or chairs and tables on the deck) and visual cues (such as posted signs or tape on the deck). Limit close contact, particularly face-to-face interactions, between people who don’t live together, as recommended by the lifeguarding-certifying organization. Such as Aquatic rescue For practice rescues Have each student practice rescues on his or her household member instead of another student. For actual rescues Stress the need to keep the number of people involved in rescue and resuscitation to the minimum number needed to provide proper care. Stress the need to 1) perform rescues from the deck (using an extending or throwing device) if conditions allow and 2) if possible, have people on the deck wear cloth masks, when removing victim from the water because social distancing cannot be maintained. If an in-water rescue is needed, minimize exposure to the distressed swimmer’s face without protection, if possible approaching him or her from behind. Cardiopulmonary Resuscitation (CPR) For practice resuscitation Limit student-to-manikin ratio and student-to-automated external defibrillator (AED) training device ratio to 1:1. Have each student use his or her own breathing barrier when doing rescue breathing on a manikin. For actual resuscitation Stress the need for and train with personal protective equipment (PPE) during resuscitation, as recommended by the CPR-certifying organization (such as the American Red Crossexternal icon), and use a bag-valve mask (BVM) with a high-efficiency particulate air (HEPA) filter. BVM ventilation is best delivered with two rescuers. Wear a mask. Save lives. Teach and reinforce use of cloth masks in public settings when around people you don’t live with, particularly when it is difficult to maintain social distancing. Advise people wearing masks to not wear them in the water. Cloth masks can be difficult to breathe through when they’re wet. This means it is particularly important to maintain social distancing in the water. Plus, wet cloth masks don’t slow the spread of the virus that causes COVID-19 as well as dry cloth masks. Cover coughs and sneezes Teach and reinforce covering coughs and sneezes with a tissue (or use the inside of elbow), throw used tissues in the trash, and wash hands. Wash hands often Teach and reinforce handwashing with soap and water for at least 20 seconds, particularly after being in a public place or after blowing your nose, coughing, or sneezing. Use hand sanitizer with at least 60% alcohol, if soap and water are not readily available. Clean and then disinfect Clean and then disinfect surfaces frequently touched by multiple people (such as door handles, light switches, and tables). Use cleaning product and a List N disinfectant approved by the U.S. Environmental Protection Agencyexternal icon as per label instructions. Clean and then disinfect all shared equipment that is not disposable (such as manikins and rescue tubes) between users. Use cleaning product and a List N disinfectant approved by the U.S. Environmental Protection Agencyexternal icon as per label instructions. Consult with manufacturers to decide which List N disinfectants are best for equipment. CDC has more COVID-19–related considerations for public pools and public beaches and non-COVID-19–related healthy and safe swimming resources."
